,poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,cycle,office_type,seat_name,seat_number,election_date,stage,party,pct,answer,candidate_name,candidate_id,race_id,nationwide_match,ranked_choice_reallocated,hypothetical
0,25f4995b-08fb-44dc-8dd5-687bd3cc230e,2df67459-2691-479a-8c87-f98549fe2429,J.L. Partners,,,J.L. Partners,619.0,J.L. Partners,,,,,NY,8/15/26,8/17/26,,,,0a5b8ffc-3723-48ab-ae72-bffaf1e2bc18,500.0,lv,,lv,,8/19/26 13:46,,https://nypost.com/2026/08/19/us-news/anthony-constantino-leads-blake-gendebien-in-ny-race-to-succeed-elise-stefanik-poll/,,,,,,,2026,U.S. House,Twenty-first Congressional Election,21.0,2026-11-03,general,NONE,7.0,Don't know,Don't know,d8390906-54c4-4050-9005-4934a65fa7b1,3344edbf-b5c1-4f1c-a0d9-fe706d6c307a,,,
1,25f4995b-08fb-44dc-8dd5-687bd3cc230e,2df67459-2691-479a-8c87-f98549fe2429,J.L. Partners,,,J.L. Partners,619.0,J.L. Partners,,,,,NY,8/15/26,8/17/26,,,,0a5b8ffc-3723-48ab-ae72-bffaf1e2bc18,500.0,lv,,lv,,8/19/26 13:46,,https://nypost.com/2026/08/19/us-news/anthony-constantino-leads-blake-gendebien-in-ny-race-to-succeed-elise-stefanik-poll/,,,,,,,2026,U.S. House,Twenty-first Congressional Election,21.0,2026-11-03,general,DEM,40.0,Gendebien,Blake Gendebien,9dc1e849-bc2d-46f1-a4b7-4d8acce45a31,3344edbf-b5c1-4f1c-a0d9-fe706d6c307a,,,
2,25f4995b-08fb-44dc-8dd5-687bd3cc230e,2df67459-2691-479a-8c87-f98549fe2429,J.L. Partners,,,J.L. Partners,619.0,J.L. Partners,,,,,NY,8/15/26,8/17/26,,,,0a5b8ffc-3723-48ab-ae72-bffaf1e2bc18,500.0,lv,,lv,,8/19/26 13:46,,https://nypost.com/2026/08/19/us-news/anthony-constantino-leads-blake-gendebien-in-ny-race-to-succeed-elise-stefanik-poll/,,,,,,,2026,U.S. House,Twenty-first Congressional Election,21.0,2026-11-03,general,REP,53.0,Constantino,Anthony Constantino,10519b95-9095-4d2b-98bc-12fd6313657e,3344edbf-b5c1-4f1c-a0d9-fe706d6c307a,,,
3,04cf125a-5732-4911-a512-85a61d32ceeb,515110ac-affe-4b0c-a37c-3fb9aad38004,Global Strategy Group,,,Global Strategy Group,118.0,Global Strategy Group,,,,,PA,8/5/26,8/9/26,,Bob Harvie,DEM,68b640e7-53f5-48c7-8c5f-cd0749aadd32,500.0,lv,,lv,,8/19/26 08:31,,https://politicspa.com/internal-pa-01-poll-shows-harvie-within-margin-of-error-against-fitzpatrick/150216/,,,,,,DEM,2026,U.S. House,First Congressional District,1.0,2026-11-03,general,DEM,43.0,Harvie,Bob Harvie,0c92ac05-1f5d-4965-8386-f15eb41efe83,74b4585d-53eb-4f7c-b06a-39f485261149,,,
4,04cf125a-5732-4911-a512-85a61d32ceeb,515110ac-affe-4b0c-a37c-3fb9aad38004,Global Strategy Group,,,Global Strategy Group,118.0,Global Strategy Group,,,,,PA,8/5/26,8/9/26,,Bob Harvie,DEM,68b640e7-53f5-48c7-8c5f-cd0749aadd32,500.0,lv,,lv,,8/19/26 08:31,,https://politicspa.com/internal-pa-01-poll-shows-harvie-within-margin-of-error-against-fitzpatrick/150216/,,,,,,DEM,2026,U.S. House,First Congressional District,1.0,2026-11-03,general,REP,47.0,Fitzpatrick,Brian Fitzpatrick,584a3719-e37f-4a74-aa2a-9336ae0b0875,74b4585d-53eb-4f7c-b06a-39f485261149,,,
5,2a0b647a-2651-41f2-882b-752fefd9bf23,932da08a-7f8a-48e3-a92a-c443c039fbd1,Echelon Insights,,,Echelon Insights,407.0,Echelon Insights,,,,,US,8/13/26,8/17/26,,,,2a5a315c-3ae3-4ae4-b90a-0205f82a382d,1004.0,lv,,lv,,8/18/26 13:18,,https://echeloninsights.com/insights/august-2026-verified-voter-omnibus,,,,,,,2026,U.S. House,,,2026-11-03,general,NONE,6.0,Don't know,Don't know,d8390906-54c4-4050-9005-4934a65fa7b1,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
6,2a0b647a-2651-41f2-882b-752fefd9bf23,932da08a-7f8a-48e3-a92a-c443c039fbd1,Echelon Insights,,,Echelon Insights,407.0,Echelon Insights,,,,,US,8/13/26,8/17/26,,,,2a5a315c-3ae3-4ae4-b90a-0205f82a382d,1004.0,lv,,lv,,8/18/26 13:18,,https://echeloninsights.com/insights/august-2026-verified-voter-omnibus,,,,,,,2026,U.S. House,,,2026-11-03,general,REP,44.0,Republican,Generic Republican,97a3a951-7de9-49d7-b305-e6f1797d0217,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
7,2a0b647a-2651-41f2-882b-752fefd9bf23,932da08a-7f8a-48e3-a92a-c443c039fbd1,Echelon Insights,,,Echelon Insights,407.0,Echelon Insights,,,,,US,8/13/26,8/17/26,,,,2a5a315c-3ae3-4ae4-b90a-0205f82a382d,1004.0,lv,,lv,,8/18/26 13:18,,https://echeloninsights.com/insights/august-2026-verified-voter-omnibus,,,,,,,2026,U.S. House,,,2026-11-03,general,DEM,50.0,Democrat,Generic Democrat,d73e9669-a0c1-41c3-b768-9e0355cf5fec,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
8,08d5ce20-c102-440e-b8a4-dbfe88c09d60,530091d3-1f98-43b8-8b9f-4a2bff415234,The Bullfinch Group,,,The Bullfinch Group,692.0,The Bullfinch Group,,,,,US,8/14/26,8/17/26,,,,0d20508d-4ac2-49f0-a281-5003e3798b7b,1000.0,rv,,rv,,8/18/26 12:50,,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-4,,,,,,,2026,U.S. House,,,2026-11-03,general,NONE,11.0,Don't know,Don't know,d8390906-54c4-4050-9005-4934a65fa7b1,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
9,08d5ce20-c102-440e-b8a4-dbfe88c09d60,530091d3-1f98-43b8-8b9f-4a2bff415234,The Bullfinch Group,,,The Bullfinch Group,692.0,The Bullfinch Group,,,,,US,8/14/26,8/17/26,,,,0d20508d-4ac2-49f0-a281-5003e3798b7b,1000.0,rv,,rv,,8/18/26 12:50,,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-4,,,,,,,2026,U.S. House,,,2026-11-03,general,DEM,42.0,Democrat,Generic Democrat,d73e9669-a0c1-41c3-b768-9e0355cf5fec,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
10,08d5ce20-c102-440e-b8a4-dbfe88c09d60,530091d3-1f98-43b8-8b9f-4a2bff415234,The Bullfinch Group,,,The Bullfinch Group,692.0,The Bullfinch Group,,,,,US,8/14/26,8/17/26,,,,0d20508d-4ac2-49f0-a281-5003e3798b7b,1000.0,rv,,rv,,8/18/26 12:50,,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-4,,,,,,,2026,U.S. House,,,2026-11-03,general,REP,37.0,Republican,Generic Republican,97a3a951-7de9-49d7-b305-e6f1797d0217,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
11,08d5ce20-c102-440e-b8a4-dbfe88c09d60,530091d3-1f98-43b8-8b9f-4a2bff415234,The Bullfinch Group,,,The Bullfinch Group,692.0,The Bullfinch Group,,,,,US,8/14/26,8/17/26,,,,0d20508d-4ac2-49f0-a281-5003e3798b7b,1000.0,rv,,rv,,8/18/26 12:50,,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-4,,,,,,,2026,U.S. House,,,2026-11-03,general,IND,10.0,Independent,Generic Candidate,6fe9d3cd-f53c-4332-b0f3-2cbc37afa420,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
12,08d5ce20-c102-440e-b8a4-dbfe88c09d60,530091d3-1f98-43b8-8b9f-4a2bff415234,The Bullfinch Group,,,The Bullfinch Group,692.0,The Bullfinch Group,,,,,US,8/14/26,8/17/26,,,,e92b7171-f1bb-4118-852b-1a50aa43fce8,1200.0,a,,a,,8/18/26 12:50,,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-4,,,,,,,2026,U.S. House,,,2026-11-03,general,NONE,15.0,Don't know,Don't know,d8390906-54c4-4050-9005-4934a65fa7b1,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
13,08d5ce20-c102-440e-b8a4-dbfe88c09d60,530091d3-1f98-43b8-8b9f-4a2bff415234,The Bullfinch Group,,,The Bullfinch Group,692.0,The Bullfinch Group,,,,,US,8/14/26,8/17/26,,,,e92b7171-f1bb-4118-852b-1a50aa43fce8,1200.0,a,,a,,8/18/26 12:50,,https://www.thebullfinchgroup.com/post/public-release-of-bullfinch-q3-nationwide-survey-4,,,,,,,2026,U.S. House,,,2026-11-03,general,IND,10.0,Independent,Generic Candidate,6fe9d3cd-f53c-4332-b0f3-2cbc37afa420,e8c18a2e-fccf-45f1-95dc-b5ecfe47f91c,,,
