,district,cvap_white_pct,cvap_aapi_pct,cvap_hisp_pct,cvap_black_pct,cvap_natam_pct,college,cd_fullname,urban,rural,total,seat_number,state,urban_pct,rural_pct
0,AK-00,64.4639480048031,6.481397278121224,6.05138274633968,3.0774712844201857,12.640422850716105,30.75,"Congressional District (at Large) (119th Congress), Alaska",475967,257424,733391,(at Large),Alaska,64.89948744939602,35.10051255060397
1,DE-00,66.18528125384432,3.0071429132302248,6.8483236794509725,21.10784516446499,0.148276304321083,34.46,"Congressional District (at Large) (119th Congress), Delaware",817817,172131,989948,(at Large),Delaware,82.61211700008485,17.387882999915146
2,ND-00,87.59351320874073,0.8692946628711306,3.3881348240438958,2.1222685204285106,3.7240260186751377,31.430000000000003,"Congressional District (at Large) (119th Congress), North Dakota",474989,304105,779094,(at Large),North Dakota,60.96684097169276,39.03315902830724
3,SD-00,85.99282096612356,0.9317215347125997,2.6997527354388646,1.4941886855559272,6.152199101724879,30.37,"Congressional District (at Large) (119th Congress), South Dakota",507347,379320,886667,(at Large),South Dakota,57.21956495505077,42.780435044949236
4,VT-00,93.22092691219,1.2476116190779172,2.220403720220699,1.0088214382221439,0.12150318993784939,41.72,"Congressional District (at Large) (119th Congress), Vermont",225850,417227,643077,(at Large),Vermont,35.120211110022595,64.8797888899774
5,WY-00,86.90346406475703,0.6359416023911405,7.776884431241085,0.7840251469479346,1.472659053537198,28.99,"Congressional District (at Large) (119th Congress), Wyoming",357750,219101,576851,(at Large),Wyoming,62.017748083993965,37.982251916006035
6,AL-01,77.44116832161019,1.037832813463584,3.181960370731184,15.563380911097804,0.48209354080456174,24.14,"Congressional District 1 (119th Congress), Alabama",388657,329097,717754,1,Alabama,54.149053854106,45.85094614589399
7,AZ-01,76.78919911119698,3.327858822013976,12.79280584806621,3.238334460438605,1.2216210994106849,50.61,"Congressional District 1 (119th Congress), Arizona",776606,18005,794611,1,Arizona,97.73411140797195,2.265888592028049
8,AR-01,78.3957679768715,0.4583520066081424,2.4432552131389556,15.943725340292971,0.2400724083691421,17.57,"Congressional District 1 (119th Congress), Arkansas",306321,446188,752509,1,Arkansas,40.70662277793355,59.29337722206645
9,CA-01,70.49343602629231,5.287959068480181,17.213634129021685,1.996504069481619,1.1909834125380092,22.66,"Congressional District 1 (119th Congress), California",509450,255128,764578,1,California,66.63152745697627,33.368472543023735
10,CO-01,64.39717331681855,3.2616709428175414,20.208130584800497,8.513963844407089,0.322554484060279,54.25,"Congressional District 1 (119th Congress), Colorado",721610,104,721714,1,Colorado,99.98558985969511,0.014410140304885315
11,CT-01,64.40137564038754,3.7596221853821365,15.736225820575477,13.83255806991217,0.03760931962682574,38.440000000000005,"Congressional District 1 (119th Congress), Connecticut",682164,39025,721189,1,Connecticut,94.5887971114368,5.411202888563192
12,FL-01,75.13420242205599,2.3850805880755965,5.964200473351887,12.359114522176085,0.185709836292199,30.48,"Congressional District 1 (119th Congress), Florida",659984,109237,769221,1,Florida,85.79900964742252,14.200990352577477
13,GA-01,61.635907967320236,1.5640481488211355,5.596391923998642,28.430740642967095,0.11570939285995906,27.43,"Congressional District 1 (119th Congress), Georgia",530430,234707,765137,1,Georgia,69.32483986527903,30.67516013472097
14,HI-01,17.292056284112377,56.7761503604021,7.0010084776943415,2.2014934620524524,0.10218223897299225,37.95,"Congressional District 1 (119th Congress), Hawaii",722733,3662,726395,1,Hawaii,99.49586657397145,0.5041334260285382
